Mass [kg]        Velocity [m s-1]    Theta [rad]    CO2 [frac]    
4.3442536764e-10 1.4440599057e+04 1.2148704786e+00 3.5000000000e-01 
6.1475966101e-10 1.1218999432e+04 1.4821655547e+00 3.5000000000e-01 
5.7785713717e-08 1.5104964396e+04 2.9475440385e-01 3.5000000000e-01 
2.3500000000e-07 1.2159248813e+04 1.3483414234e+00 3.5000000000e-01 
1.8436580708e-11 1.3357650970e+04 5.0729627211e-01 3.5000000000e-01 
1.0839272932e-10 1.2025383040e+04 1.1278678839e+00 3.5000000000e-01 
1.0239124382e-08 1.1209525834e+04 6.2975134687e-01 3.5000000000e-01 
4.5373527681e-08 1.1809169700e+04 4.0424157419e-01 3.5000000000e-01 
1.3490501340e-07 1.4427729121e+04 1.1995680825e+00 3.5000000000e-01 
1.5950105118e-09 1.1741637691e+04 5.9480836971e-01 3.5000000000e-01 
5.7693884148e-09 1.6787895211e+04 1.0711384971e+00 3.5000000000e-01 
2.8830576266e-10 1.1514259006e+04 1.4939335455e+00 3.5000000000e-01 
2.3500000000e-07 1.3817859361e+04 8.0704297982e-01 3.5000000000e-01 
2.6634773629e-09 1.1791960410e+04 9.1009340400e-01 3.5000000000e-01 
2.3500000000e-07 1.1939138380e+04 8.8279453538e-01 3.5000000000e-01 
3.1728572618e-10 1.2220892670e+04 3.0869944617e-01 3.5000000000e-01 
1.7717587160e-08 1.4063116135e+04 6.3008373679e-01 3.5000000000e-01 
1.9016087146e-09 1.3376337150e+04 6.1175868139e-01 3.5000000000e-01 
1.7002207921e-09 1.1713615093e+04 7.6686880364e-01 3.5000000000e-01 
1.4926765336e-11 2.0000000000e+04 1.2094349375e+00 3.5000000000e-01 
2.3500000000e-07 1.3410907138e+04 8.6134824908e-01 3.5000000000e-01 
4.3897813014e-10 1.7522708200e+04 8.4365250741e-01 3.5000000000e-01 
2.3500000000e-07 2.0000000000e+04 3.6309678202e-01 3.5000000000e-01 
2.0262949115e-07 1.3635203134e+04 4.1911307914e-01 3.5000000000e-01 
1.0913082479e-09 1.2970534028e+04 1.0557973778e+00 3.5000000000e-01 
2.3500000000e-07 1.2614890338e+04 7.5695665569e-01 3.5000000000e-01 
5.2766572756e-09 1.4097690773e+04 1.2124946013e+00 3.5000000000e-01 
1.0848457365e-11 1.2052145474e+04 8.1064859338e-01 3.5000000000e-01 
2.3500000000e-07 1.4448726683e+04 1.0159177348e+00 3.5000000000e-01 
6.8108263819e-11 1.3450970398e+04 4.4906984047e-01 3.5000000000e-01 
2.2636413042e-09 2.0000000000e+04 5.8039777854e-01 3.5000000000e-01 
4.4060772073e-08 1.2699372628e+04 9.9523578109e-01 3.5000000000e-01 
4.7485064625e-10 1.7631084224e+04 8.1168792951e-01 3.5000000000e-01 
5.4654869793e-09 1.7405303510e+04 8.6669272200e-01 3.5000000000e-01 
2.3500000000e-07 1.3419365659e+04 9.4699901466e-01 3.5000000000e-01 
1.6613261822e-08 1.1370421642e+04 1.0803291682e+00 3.5000000000e-01 
1.7927324572e-09 1.4769856275e+04 8.7525153260e-01 3.5000000000e-01 
1.3359822489e-09 1.5054694668e+04 9.1342387628e-01 3.5000000000e-01 
1.9315661532e-10 1.8317556877e+04 1.6419180440e-01 3.5000000000e-01 
2.3500000000e-07 1.2439648758e+04 2.0355881540e-01 3.5000000000e-01 
3.0013468724e-08 1.2602797091e+04 1.1364683065e+00 3.5000000000e-01 
1.5638666470e-09 2.0000000000e+04 1.2112685685e+00 3.5000000000e-01 
7.0676495637e-11 1.1273539585e+04 5.0875935378e-01 3.5000000000e-01 
4.5828016983e-09 1.1591360767e+04 4.0980653807e-01 3.5000000000e-01 
1.1218489807e-07 2.0000000000e+04 2.6847429369e-01 3.5000000000e-01 
6.5079934031e-10 1.2328275675e+04 6.6760123366e-01 3.5000000000e-01 
5.8858377627e-11 1.6119779536e+04 1.2158253845e-01 3.5000000000e-01 
2.3500000000e-07 1.2477174450e+04 6.7511846181e-01 3.5000000000e-01 
2.3500000000e-07 1.1465852054e+04 8.1017654496e-01 3.5000000000e-01 
3.0021369072e-10 1.5125154026e+04 6.3893800480e-01 3.5000000000e-01 
8.9667209795e-09 1.2102054147e+04 3.1432626327e-01 3.5000000000e-01 
6.9336194126e-10 1.3765031199e+04 1.3128557165e+00 3.5000000000e-01 
2.3499999999e-07 1.1803947342e+04 1.7893948359e-01 3.5000000000e-01 
1.1341865830e-10 1.2786235212e+04 8.4161539537e-01 3.5000000000e-01 
1.8250704913e-09 1.1522382265e+04 8.4976752550e-01 3.5000000000e-01 
5.6618470702e-10 1.4949094345e+04 5.7974558249e-01 3.5000000000e-01 
4.4900248851e-09 1.1925768678e+04 4.5948035720e-01 3.5000000000e-01 
1.0054766639e-11 2.0000000000e+04 1.0651194686e+00 3.5000000000e-01 
1.1038310670e-10 1.9015379469e+04 2.1065914432e-01 3.5000000000e-01 
2.1190657975e-09 1.1700441552e+04 8.7921837345e-01 3.5000000000e-01 
1.9343960520e-10 1.2938462029e+04 3.8053324989e-01 3.5000000000e-01 
1.9123263326e-08 2.0000000000e+04 8.5762399467e-01 3.5000000000e-01 
1.4801385219e-10 1.3655453522e+04 4.9670011655e-01 3.5000000000e-01 
1.3527230042e-07 1.1876139218e+04 5.2990619364e-01 3.5000000000e-01 
2.0908590857e-09 1.1923004792e+04 1.3751206553e+00 3.5000000000e-01 
1.9640991317e-11 1.2337587713e+04 1.2638169514e-01 3.5000000000e-01 
1.2971933429e-10 1.5145964863e+04 2.2140302954e-01 3.5000000000e-01 
1.3573128384e-09 1.5356021948e+04 8.1302529167e-02 3.5000000000e-01 
1.2667755152e-11 1.1549943467e+04 5.9228396239e-01 3.5000000000e-01 
3.9622193203e-10 1.5077269596e+04 7.7114449349e-01 3.5000000000e-01 
5.4556977440e-09 1.3109142295e+04 2.1903080491e-01 3.5000000000e-01 
5.8646564709e-09 1.8662012797e+04 4.6226476055e-01 3.5000000000e-01 
4.1778290801e-09 2.0000000000e+04 4.0986642100e-01 3.5000000000e-01 
8.6074573810e-11 1.5247857447e+04 7.2171386106e-01 3.5000000000e-01 
1.0635769310e-09 1.5734792984e+04 1.0112457422e+00 3.5000000000e-01 
5.4222815044e-08 1.1797459795e+04 1.5506245627e-01 3.5000000000e-01 
9.3752884232e-10 1.7506826348e+04 1.0327994614e+00 3.5000000000e-01 
2.3500000000e-07 1.1239619280e+04 1.1368535177e+00 3.5000000000e-01 
2.3499999999e-07 1.1691286839e+04 6.5061028299e-01 3.5000000000e-01 
7.4100531364e-10 1.2654146090e+04 1.0095037955e+00 3.5000000000e-01 
2.3499999999e-07 1.4579571179e+04 1.9851098160e-01 3.5000000000e-01 
2.2480860144e-08 1.3049962118e+04 9.3719875641e-01 3.5000000000e-01 
2.3499999999e-07 2.0000000000e+04 1.0564689955e+00 3.5000000000e-01 
1.6256078628e-07 1.1468934073e+04 1.2627982051e+00 3.5000000000e-01 
2.3500000000e-07 1.2628463517e+04 1.0850010399e+00 3.5000000000e-01 
4.1529690005e-10 1.4171233775e+04 9.2675027466e-01 3.5000000000e-01 
2.5363962608e-11 1.5464364614e+04 6.5842036962e-01 3.5000000000e-01 
1.0752822047e-09 1.1500751256e+04 3.2390011447e-01 3.5000000000e-01 
5.2631164656e-08 1.7173353833e+04 1.1964779984e+00 3.5000000000e-01 
2.8145590182e-10 1.2317874057e+04 1.0945020656e+00 3.5000000000e-01 
2.3500000000e-07 1.2418139736e+04 8.1395081060e-01 3.5000000000e-01 
4.1583157828e-11 1.3969630886e+04 3.2272417765e-01 3.5000000000e-01 
4.3554094424e-10 1.5124081625e+04 1.0738903713e+00 3.5000000000e-01 
4.9967286082e-10 1.2766998871e+04 4.9650909314e-01 3.5000000000e-01 
2.3499999999e-07 1.2781772603e+04 1.1448253702e+00 3.5000000000e-01 
1.5797056124e-09 1.6795998868e+04 1.0537045846e+00 3.5000000000e-01 
7.6948909883e-09 1.1993855708e+04 3.2092450717e-01 3.5000000000e-01 
1.2757901132e-09 1.6137085209e+04 9.8805078901e-01 3.5000000000e-01 
1.7367279534e-10 1.8967776005e+04 1.0761530239e+00 3.5000000000e-01 
8.8914084306e-10 1.3442124043e+04 3.8063060491e-01 3.5000000000e-01 
