Radius [m]       Fe Area [frac]    Max Temp [k]    
2.9672350932e-05 8.6956570639e-01 1.6518259540e+03 
8.7270905851e-06 7.4002342233e-01 2.4270660107e+03 
2.7699634887e-05 5.8791232499e-01 1.9610435539e+03 
4.2939255666e-05 7.4471099944e-01 2.2879595330e+03 
9.2132005941e-06 7.3748507212e-01 2.4206378860e+03 
5.2527234675e-05 6.3699486918e-01 2.1471228864e+03 
2.3551632675e-05 5.9580443413e-01 2.0647518120e+03 
1.1294471630e-04 8.0570509857e-01 2.3202063278e+03 
3.0433198596e-05 6.2257200287e-01 2.1547623949e+03 
7.1208824542e-06 5.7006680314e-01 1.7685687888e+03 
8.1562175717e-06 6.2610943277e-01 1.7336695379e+03 
1.2462399913e-05 7.6334571213e-01 2.3978071676e+03 
4.2468644267e-05 7.1948851865e-01 2.2440907851e+03 
6.3464036157e-05 8.3996446125e-01 2.3670301713e+03 
4.5820429315e-05 8.1936720938e-01 2.3669158110e+03 
4.3699874366e-06 7.1891746683e-01 2.3212939579e+03 
3.0310311659e-05 7.5568799961e-01 2.3107738421e+03 
3.6705222530e-05 7.6143628153e-01 2.3070552410e+03 
1.4227074672e-05 6.7056328767e-01 1.7065331170e+03 
2.4804757820e-05 5.6094199783e-01 1.8929775872e+03 
1.0248843359e-04 8.0690638641e-01 2.3197913049e+03 
1.0978758018e-04 7.5283445414e-01 2.3019963623e+03 
3.5887762955e-05 7.8693535006e-01 2.3530540728e+03 
7.2405008611e-05 8.5324722945e-01 2.3820123567e+03 
3.6512749004e-05 7.3285365146e-01 2.2949492877e+03 
4.6876778572e-06 7.2010021610e-01 2.3261024717e+03 
6.5058934255e-05 7.8645117848e-01 2.3152507255e+03 
4.8733092435e-05 7.7951442007e-01 2.3130532305e+03 
1.0427601854e-05 1.0000000000e+00 1.0758043778e+03 
2.3645120189e-05 6.7422385545e-01 1.7046741868e+03 
1.8334586114e-05 7.7970059358e-01 2.3915871842e+03 
4.5035257860e-05 7.7665594446e-01 2.3140778454e+03 
4.6306799580e-05 1.0000000000e+00 3.0000000000e+02 
1.8050081135e-05 6.9634548224e-01 2.2747423025e+03 
8.4323948896e-05 8.1213471088e-01 2.3235814322e+03 
5.4705496654e-05 7.1270212907e-01 2.2743286503e+03 
4.3831446769e-06 7.0537407622e-01 2.2669424926e+03 
2.4151678187e-05 5.9092881318e-01 2.0293572863e+03 
3.1293166346e-06 1.0000000000e+00 1.0016761420e+03 
4.6509181417e-05 7.2805338722e-01 2.2911240758e+03 
8.9632393612e-05 8.6069231060e-01 2.3627157490e+03 
7.6947891504e-05 8.2742766105e-01 2.3514012673e+03 
1.6880079755e-05 5.9412577718e-01 2.1314239027e+03 
2.5084676600e-05 5.8742971267e-01 2.0769803360e+03 
8.0565177681e-06 1.0000000000e+00 1.5438926271e+03 
7.5934812738e-05 8.1547604932e-01 2.3280494177e+03 
1.2081460538e-04 7.4263326870e-01 2.3005840166e+03 
3.8140755734e-05 6.5435156437e-01 2.1925100702e+03 
2.1467091101e-05 5.7830335554e-01 1.8292307846e+03 
3.8594488098e-05 5.8222596213e-01 1.9997248734e+03 
3.1619701907e-05 7.3978023711e-01 2.3025893543e+03 
4.5170492698e-06 7.7477629235e-01 2.5571552535e+03 
1.8351207137e-05 7.7348070020e-01 2.3742409281e+03 
5.8134748777e-06 1.0000000000e+00 1.3116828531e+03 
1.1413836989e-05 5.6318991132e-01 1.8472914093e+03 
8.0730463430e-06 1.0000000000e+00 1.1702527715e+03 
6.0109346231e-05 8.0583798629e-01 2.3652198303e+03 
4.8012724964e-05 7.9159649269e-01 2.3274719857e+03 
1.3314984102e-05 5.6787444322e-01 1.9810257696e+03 
2.9748425052e-05 7.3531606935e-01 2.2958303965e+03 
