Mass [kg]        Velocity [m s-1]    Theta [rad]    
2.1872371895e-07 1.1565518285e+04 9.0503318780e-01 
5.5304823084e-09 1.1584824875e+04 4.1734618481e-01 
1.4763113805e-11 1.1813216065e+04 7.2028587768e-01 
5.0358990487e-08 1.0429095261e+04 7.6483460915e-01 
8.5106743245e-10 1.0707047878e+04 5.3112297737e-01 
1.7963273239e-09 1.0115222499e+04 8.4039626715e-01 
6.6156884681e-09 1.1266319394e+04 1.2514944119e+00 
2.3500000000e-05 1.0574863411e+04 1.0104866605e+00 
2.3500000000e-05 1.1212271232e+04 1.3635742401e+00 
6.9715636721e-09 1.0155415994e+04 1.3824627007e+00 
1.6461651161e-11 1.0546764462e+04 4.7368402725e-01 
5.8671669445e-12 1.0500663225e+04 7.0014546819e-01 
4.5578862516e-08 1.2131048144e+04 1.0619928815e+00 
1.3739058540e-08 1.1270242290e+04 1.0794973471e+00 
1.1344467526e-09 1.1111638806e+04 1.3300716375e-01 
1.5496732756e-07 1.1119629241e+04 6.7995417970e-01 
4.2770530047e-09 1.0938971584e+04 4.6167157298e-01 
1.0611108693e-08 1.0955479481e+04 1.2194445944e+00 
3.3801937856e-10 1.0168025883e+04 7.1276469341e-01 
4.1211089801e-11 1.0129154689e+04 3.5851732183e-01 
3.1430728225e-09 1.0732758895e+04 8.8055060835e-01 
1.7775774602e-07 1.0750433184e+04 9.8802774607e-01 
7.2827121370e-08 1.0774228537e+04 9.9880183826e-01 
1.3108265194e-11 1.0453243563e+04 6.6309665280e-01 
4.6629381393e-10 1.1495744893e+04 4.7538284490e-01 
2.3500000000e-05 1.1949692627e+04 7.9136126694e-01 
4.7840717992e-10 1.1626968162e+04 1.1620483082e+00 
8.7872713490e-11 1.1465881583e+04 9.2171709999e-01 
3.0445114052e-12 1.0585494463e+04 7.0777490504e-01 
2.3500000000e-05 1.2029781983e+04 7.2585423412e-01 
2.3500000000e-05 1.0073482567e+04 7.0871583985e-01 
1.1689958804e-08 1.1662314924e+04 8.8234573497e-01 
4.2390878725e-10 1.1591048591e+04 1.1636606526e+00 
1.3577847605e-09 1.1320152079e+04 3.6608349492e-01 
1.7336010981e-07 1.0822894578e+04 5.5709089661e-01 
2.3500000000e-05 1.2266373778e+04 7.6715999474e-01 
4.9752925073e-10 1.1322898281e+04 1.3701977059e+00 
2.2036300421e-10 1.1977054782e+04 1.2805625999e+00 
2.3500000000e-05 1.0476255875e+04 6.5646895394e-01 
6.1385352349e-11 1.0661084181e+04 7.7686000883e-01 
4.2414221969e-11 1.0069975732e+04 6.9098061717e-01 
1.0853324024e-08 1.0315159304e+04 9.7980878535e-02 
4.0377689927e-09 1.1374671523e+04 6.5252457770e-01 
4.2461320443e-10 1.0521866988e+04 1.3827159976e+00 
2.5132142583e-10 1.0250799470e+04 9.6354799316e-01 
2.1181528661e-09 1.0763583817e+04 6.3501525356e-01 
1.1350285675e-10 1.2230556948e+04 8.8970034551e-01 
4.7754577656e-11 1.0163942136e+04 5.1384734629e-01 
1.0795672275e-09 1.1446168974e+04 1.1557794797e+00 
3.1891595982e-09 1.1879918613e+04 5.5109235301e-01 
