Temperature k,pressure pa,density g/m3,m
189.4799194,1.30E-05,3.37E-10,144000
190.6415253,1.19E-05,3.05E-10,145000
191.8031311,1.09E-05,2.76E-10,146000
192.7193146,1.00E-05,2.51E-10,147000
193.2937927,9.24E-06,2.30E-10,148000
193.8682861,8.51E-06,2.11E-10,149000
194.4427643,7.84E-06,1.93E-10,150000
195.0172577,7.22E-06,1.77E-10,151000
195.5917511,6.65E-06,1.62E-10,152000
196.1662292,6.13E-06,1.48E-10,153000
196.7407227,5.64E-06,1.35E-10,154000
197.3152008,5.20E-06,1.23E-10,155000
197.606781,4.81E-06,1.14E-10,156000
197.8700867,4.45E-06,1.05E-10,157000
198.1333771,4.12E-06,9.65E-11,158000
198.3966675,3.82E-06,8.88E-11,159000
198.6599579,3.53E-06,8.18E-11,160000
198.9232483,3.27E-06,7.53E-11,161000
199.1865387,3.03E-06,6.92E-11,162000
199.4498291,2.80E-06,6.36E-11,163000
199.7131195,2.59E-06,5.84E-11,164000
199.8511353,2.41E-06,5.40E-11,165000
199.9642487,2.24E-06,5.01E-11,166000
200.0773773,2.09E-06,4.64E-11,167000
200.1904907,1.94E-06,4.29E-11,168000
200.3036194,1.81E-06,3.97E-11,169000
200.416748,1.68E-06,3.67E-11,170000
200.5298615,1.57E-06,3.39E-11,171000
200.6429901,1.46E-06,3.13E-11,172000
200.7561035,1.36E-06,2.89E-11,173000
200.8623505,1.26E-06,2.67E-11,174000
200.9084778,1.18E-06,2.49E-11,175000
200.9546051,1.11E-06,2.32E-11,176000
201.0007324,1.04E-06,2.15E-11,177000
201.0468597,9.70E-07,2.00E-11,178000
201.0929871,9.08E-07,1.86E-11,179000
201.1391144,8.50E-07,1.73E-11,180000
201.1852417,7.95E-07,1.61E-11,181000
201.231369,7.44E-07,1.49E-11,182000
201.2774963,6.97E-07,1.38E-11,183000
201.3236237,6.52E-07,1.28E-11,184000
201.3553772,6.13E-07,1.20E-11,185000
201.3734436,5.77E-07,1.12E-11,186000
201.39151,5.44E-07,1.05E-11,187000
201.4095917,5.13E-07,9.81E-12,188000
201.4276581,4.83E-07,9.18E-12,189000
201.4457245,4.55E-07,8.58E-12,190000
201.4637909,4.29E-07,8.02E-12,191000
201.4818573,4.04E-07,7.49E-12,192000
201.4999237,3.81E-07,6.99E-12,193000
201.5179901,3.59E-07,6.52E-12,194000
201.5360718,3.38E-07,6.08E-12,195000
201.5541382,3.18E-07,5.66E-12,196000
201.5638733,3.02E-07,5.32E-12,197000
201.5707855,2.86E-07,5.02E-12,198000
201.5776978,2.72E-07,4.73E-12,199000
201.5845947,2.58E-07,4.46E-12,200000
